Model,MAE,RMSE,R2
Linear Regression,0.5332001304956565,0.7455813830127764,0.5757877060324508
Random Forest,0.3274252027374032,0.5051432839771741,0.8052747336256919
XGBoost,0.3154509897767458,0.47672034565362764,0.8265714813208984
